instant,date,season,yr,mnth,hr,holiday,weekday,workingday,weather,weather_desc,temp,rain_1h,snow_1h,clouds_all,traffic_volume
54,2015-06-26,3,0,6,17,0,5,1,Rain,light rain,25.12,0.55,0.0,75,5319
55,2015-06-26,3,0,6,18,0,5,1,Rain,moderate rain,23.08,0.55,0.0,40,4416
56,2015-06-26,3,0,6,19,0,5,1,Rain,moderate rain,22.73,1.02,0.0,40,3612
57,2015-06-26,3,0,6,20,0,5,1,Rain,moderate rain,21.44,0.0,0.0,90,3125
58,2015-06-26,3,0,6,21,0,5,1,Thunderstorm,proximity thunderstorm,19.55,0.0,0.0,1,3441
59,2015-06-26,3,0,6,22,0,5,1,Rain,light rain,18.21,0.0,0.0,1,3038
60,2015-06-26,3,0,6,23,0,5,1,Clear,sky is clear,17.08,0.0,0.0,1,2102
61,2015-06-27,3,0,6,0,0,6,0,Clear,sky is clear,16.29,0.0,0.0,1,1468
62,2015-06-27,3,0,6,1,0,6,0,Clear,sky is clear,15.85,0.0,0.0,1,829
63,2015-06-27,3,0,6,2,0,6,0,Clear,sky is clear,15.5,0.0,0.0,1,672
64,2015-06-27,3,0,6,3,0,6,0,Rain,light rain,14.93,0.6,0.0,1,452
65,2015-06-27,3,0,6,4,0,6,0,Mist,mist,14.29,0.0,0.0,1,513
66,2015-06-27,3,0,6,5,0,6,0,Mist,mist,14.01,0.0,0.0,1,847
67,2015-06-27,3,0,6,6,0,6,0,Mist,mist,13.77,0.0,0.0,1,1371
68,2015-06-27,3,0,6,7,0,6,0,Mist,mist,15.88,0.0,0.0,1,2048
69,2015-06-27,3,0,6,8,0,6,0,Clear,sky is clear,18.83,0.0,0.0,1,2700
70,2015-06-27,3,0,6,9,0,6,0,Clear,sky is clear,20.96,0.0,0.0,1,3481
71,2015-06-27,3,0,6,10,0,6,0,Clear,sky is clear,22.66,0.0,0.0,1,3907
72,2015-06-27,3,0,6,11,0,6,0,Clear,sky is clear,24.32,0.0,0.0,1,3978
73,2015-06-27,3,0,6,12,0,6,0,Clear,sky is clear,25.7,0.0,0.0,1,4395
74,2015-06-27,3,0,6,13,0,6,0,Clear,sky is clear,26.3,0.0,0.0,1,4147
75,2015-06-27,3,0,6,14,0,6,0,Clear,sky is clear,27.11,0.0,0.0,1,4233
76,2015-06-27,3,0,6,15,0,6,0,Clouds,scattered clouds,27.4,0.0,0.0,40,4286
77,2015-06-27,3,0,6,16,0,6,0,Clear,sky is clear,27.61,0.0,0.0,1,3975
78,2015-06-27,3,0,6,17,0,6,0,Clear,sky is clear,27.29,0.0,0.0,1,4043
79,2015-06-27,3,0,6,18,0,6,0,Clear,sky is clear,26.44,0.0,0.0,1,3700
80,2015-06-27,3,0,6,19,0,6,0,Clear,sky is clear,25.55,0.0,0.0,1,3590
81,2015-06-27,3,0,6,20,0,6,0,Clear,sky is clear,24.28,0.0,0.0,1,3421
82,2015-06-27,3,0,6,22,0,6,0,Clear,sky is clear,21.91,0.0,0.0,1,3348
83,2015-06-27,3,0,6,23,0,6,0,Rain,moderate rain,20.87,2.86,0.0,75,2441
84,2015-06-28,3,0,6,0,0,0,0,Rain,moderate rain,19.4,0.79,0.0,90,1447
85,2015-06-28,3,0,6,1,0,0,0,Rain,moderate rain,18.37,1.49,0.0,90,816
86,2015-06-28,3,0,6,2,0,0,0,Rain,heavy intensity rain,17.87,8.89,0.0,40,626
87,2015-06-28,3,0,6,3,0,0,0,Drizzle,drizzle,17.79,0.0,0.0,90,345
88,2015-06-28,3,0,6,4,0,0,0,Rain,light rain,17.56,0.3,0.0,90,330
89,2015-06-28,3,0,6,5,0,0,0,Rain,moderate rain,17.21,0.88,0.0,90,489
90,2015-06-28,3,0,6,6,0,0,0,Rain,light rain,17.23,0.73,0.0,90,843
91,2015-06-28,3,0,6,7,0,0,0,Drizzle,light intensity drizzle,17.9,0.0,0.0,90,1142
92,2015-06-28,3,0,6,8,0,0,0,Clouds,overcast clouds,18.79,0.0,0.0,90,1906
93,2015-06-28,3,0,6,9,0,0,0,Clouds,overcast clouds,20.61,0.0,0.0,90,3036
94,2015-06-28,3,0,6,10,0,0,0,Clouds,scattered clouds,21.92,0.0,0.0,40,3749
95,2015-06-28,3,0,6,11,0,0,0,Clouds,scattered clouds,22.84,0.0,0.0,40,3806
96,2015-06-28,3,0,6,12,0,0,0,Clear,sky is clear,24.04,0.0,0.0,1,4071
97,2015-06-28,3,0,6,13,0,0,0,Clouds,scattered clouds,24.68,0.0,0.0,40,4226
98,2015-06-28,3,0,6,14,0,0,0,Clouds,broken clouds,25.79,0.0,0.0,75,4571
99,2015-06-28,3,0,6,15,0,0,0,Rain,moderate rain,25.63,1.27,0.0,40,4399
100,2015-06-28,3,0,6,16,0,0,0,Rain,heavy intensity rain,22.27,2.16,0.0,90,4317
101,2015-06-28,3,0,6,17,0,0,0,Rain,heavy intensity rain,20.43,11.59,0.0,90,4049
102,2015-06-28,3,0,6,18,0,0,0,Rain,moderate rain,20.49,2.33,0.0,40,3616
103,2015-06-28,3,0,6,19,0,0,0,Clouds,broken clouds,21.25,0.0,0.0,75,3419
104,2015-06-28,3,0,6,20,0,0,0,Clouds,broken clouds,21.0,0.0,0.0,75,2973
105,2015-06-28,3,0,6,21,0,0,0,Clear,Sky is Clear,19.58,0.0,0.0,0,2422
106,2015-06-28,3,0,6,22,0,0,0,Clouds,scattered clouds,18.88,0.0,0.0,40,2020
107,2015-06-28,3,0,6,23,0,0,0,Clouds,scattered clouds,18.3,0.0,0.0,40,1247
108,2015-06-29,3,0,6,0,0,1,1,Mist,mist,17.98,0.0,0.0,40,678
109,2015-06-29,3,0,6,1,0,1,1,Mist,mist,17.55,0.0,0.0,1,398
110,2015-06-29,3,0,6,2,0,1,1,Mist,mist,17.34,0.0,0.0,1,330
111,2015-06-29,3,0,6,3,0,1,1,Mist,mist,16.73,0.0,0.0,1,326
112,2015-06-29,3,0,6,4,0,1,1,Fog,fog,16.99,0.0,0.0,1,894
113,2015-06-29,3,0,6,5,0,1,1,Fog,fog,16.57,0.0,0.0,1,2811
114,2015-06-29,3,0,6,6,0,1,1,Fog,fog,16.82,0.0,0.0,1,5700
115,2015-06-29,3,0,6,7,0,1,1,Rain,light rain,17.87,0.3,0.0,1,5889
116,2015-06-29,3,0,6,8,0,1,1,Rain,light rain,19.78,0.3,0.0,1,5334
117,2015-06-29,3,0,6,9,0,1,1,Rain,light rain,21.48,0.9,0.0,1,4634
118,2015-06-29,3,0,6,10,0,1,1,Clear,sky is clear,23.75,0.0,0.0,1,4439
119,2015-06-29,3,0,6,11,0,1,1,Clear,sky is clear,25.4,0.0,0.0,1,4555
120,2015-06-29,3,0,6,12,0,1,1,Clear,sky is clear,26.6,0.0,0.0,1,4881
121,2015-06-29,3,0,6,13,0,1,1,Clouds,scattered clouds,26.94,0.0,0.0,40,4994
122,2015-06-29,3,0,6,14,0,1,1,Clear,sky is clear,27.35,0.0,0.0,1,5709
123,2015-06-29,3,0,6,15,0,1,1,Clear,sky is clear,26.45,0.0,0.0,1,5866
124,2015-06-29,3,0,6,16,0,1,1,Rain,light rain,26.39,0.0,0.0,1,6495
125,2015-06-29,3,0,6,18,0,1,1,Haze,haze,25.57,0.0,0.0,1,4579
126,2015-06-29,3,0,6,19,0,1,1,Rain,heavy intensity rain,22.75,9.4,0.0,1,3201
127,2015-06-29,3,0,6,20,0,1,1,Rain,moderate rain,20.1,1.27,0.0,75,2527
128,2015-06-29,3,0,6,21,0,1,1,Rain,moderate rain,18.34,3.2,0.0,1,2251
129,2015-06-29,3,0,6,22,0,1,1,Mist,mist,17.85,0.0,0.0,1,1680
130,2015-06-29,3,0,6,23,0,1,1,Rain,light rain,17.42,0.25,0.0,1,1105
131,2015-06-30,3,0,6,0,0,2,1,Mist,mist,17.04,0.0,0.0,40,673
132,2015-06-30,3,0,6,2,0,2,1,Mist,mist,16.65,0.0,0.0,40,327
133,2015-06-30,3,0,6,3,0,2,1,Mist,mist,16.56,0.0,0.0,1,414
134,2015-06-30,3,0,6,4,0,2,1,Rain,light rain,16.46,0.25,0.0,1,911
135,2015-06-30,3,0,6,5,0,2,1,Haze,haze,16.21,0.0,0.0,1,2947
136,2015-06-30,3,0,6,6,0,2,1,Mist,mist,16.12,0.0,0.0,1,5859
137,2015-06-30,3,0,6,7,0,2,1,Rain,light rain,16.66,0.3,0.0,1,6063
138,2015-06-30,3,0,6,8,0,2,1,Mist,mist,17.38,0.0,0.0,1,5354
139,2015-06-30,3,0,6,9,0,2,1,Haze,haze,18.91,0.0,0.0,40,4346
140,2015-06-30,3,0,6,10,0,2,1,Haze,haze,20.23,0.0,0.0,75,4290
141,2015-06-30,3,0,6,11,0,2,1,Clouds,scattered clouds,21.13,0.0,0.0,40,4475
142,2015-06-30,3,0,6,12,0,2,1,Clouds,broken clouds,22.03,0.0,0.0,75,4558
143,2015-06-30,3,0,6,13,0,2,1,Clear,sky is clear,22.47,0.0,0.0,1,4508
144,2015-06-30,3,0,6,14,0,2,1,Clear,sky is clear,23.38,0.0,0.0,1,5204
145,2015-06-30,3,0,6,15,0,2,1,Clear,sky is clear,23.73,0.0,0.0,1,5457
146,2015-06-30,3,0,6,16,0,2,1,Clear,sky is clear,23.77,0.0,0.0,1,6383
147,2015-06-30,3,0,6,17,0,2,1,Clear,sky is clear,23.6,0.0,0.0,1,6109
148,2015-06-30,3,0,6,22,0,2,1,Clear,sky is clear,18.2,0.0,0.0,1,2020
149,2015-06-30,3,0,6,23,0,2,1,Clear,sky is clear,17.35,0.0,0.0,1,1251
150,2015-07-01,3,0,7,0,0,3,1,Clear,sky is clear,16.05,0.0,0.0,1,737
151,2015-07-01,3,0,7,1,0,3,1,Clear,sky is clear,16.25,0.0,0.0,1,444
152,2015-07-01,3,0,7,2,0,3,1,Clear,sky is clear,16.04,0.0,0.0,1,347
153,2015-07-01,3,0,7,3,0,3,1,Rain,light rain,15.59,0.3,0.0,1,356
154,2015-07-01,3,0,7,4,0,3,1,Clear,sky is clear,14.92,0.0,0.0,1,936
155,2015-07-01,3,0,7,5,0,3,1,Clear,sky is clear,14.72,0.0,0.0,1,2886
156,2015-07-01,3,0,7,6,0,3,1,Clear,sky is clear,14.23,0.0,0.0,1,5741
157,2015-07-01,3,0,7,7,0,3,1,Clouds,broken clouds,14.43,0.0,0.0,75,6261
158,2015-07-01,3,0,7,9,0,3,1,Clouds,scattered clouds,15.43,0.0,0.0,40,4409
159,2015-07-01,3,0,7,10,0,3,1,Clouds,scattered clouds,16.09,0.0,0.0,40,4273
160,2015-07-01,3,0,7,11,0,3,1,Clouds,broken clouds,16.29,0.0,0.0,75,4469
161,2015-07-01,3,0,7,12,0,3,1,Clear,sky is clear,17.38,0.0,0.0,1,4625
162,2015-07-01,3,0,7,13,0,3,1,Clear,sky is clear,19.02,0.0,0.0,1,4462
163,2015-07-01,3,0,7,14,0,3,1,Clear,sky is clear,20.46,0.0,0.0,1,4996
164,2015-07-01,3,0,7,15,0,3,1,Clear,sky is clear,21.7,0.0,0.0,1,5623
165,2015-07-01,3,0,7,16,0,3,1,Clear,sky is clear,21.92,0.0,0.0,1,6210
166,2015-07-01,3,0,7,17,0,3,1,Clear,sky is clear,22.41,0.0,0.0,1,5969
167,2015-07-01,3,0,7,18,0,3,1,Clear,sky is clear,22.02,0.0,0.0,1,4604
168,2015-07-01,3,0,7,19,0,3,1,Clear,sky is clear,21.71,0.0,0.0,1,3649
169,2015-07-01,3,0,7,20,0,3,1,Clear,sky is clear,20.61,0.0,0.0,1,3144
170,2015-07-01,3,0,7,21,0,3,1,Clear,sky is clear,18.04,0.0,0.0,1,2788
171,2015-07-01,3,0,7,22,0,3,1,Clear,sky is clear,16.52,0.0,0.0,1,2356
172,2015-07-01,3,0,7,23,0,3,1,Clear,sky is clear,14.95,0.0,0.0,1,2820
173,2015-07-02,3,0,7,0,0,4,1,Clear,sky is clear,14.21,0.0,0.0,1,1265
174,2015-07-02,3,0,7,1,0,4,1,Clear,sky is clear,13.32,0.0,0.0,1,566
175,2015-07-02,3,0,7,2,0,4,1,Clear,sky is clear,13.07,0.0,0.0,1,373
176,2015-07-02,3,0,7,3,0,4,1,Clear,sky is clear,12.48,0.0,0.0,1,356
177,2015-07-02,3,0,7,4,0,4,1,Mist,mist,12.01,0.0,0.0,1,801
178,2015-07-02,3,0,7,5,0,4,1,Mist,mist,11.88,0.0,0.0,1,2696
179,2015-07-02,3,0,7,6,0,4,1,Mist,mist,11.57,0.0,0.0,1,5400
180,2015-07-02,3,0,7,7,0,4,1,Clear,sky is clear,13.29,0.0,0.0,1,5933
181,2015-07-02,3,0,7,8,0,4,1,Clear,sky is clear,16.06,0.0,0.0,1,4987
182,2015-07-02,3,0,7,9,0,4,1,Clear,sky is clear,16.44,0.0,0.0,1,4419
183,2015-07-02,3,0,7,10,0,4,1,Clear,sky is clear,20.28,0.0,0.0,1,4258
184,2015-07-02,3,0,7,11,0,4,1,Clear,sky is clear,21.75,0.0,0.0,1,4816
185,2015-07-02,3,0,7,12,0,4,1,Clear,sky is clear,22.15,0.0,0.0,1,5254
186,2015-07-02,3,0,7,13,0,4,1,Clouds,scattered clouds,23.33,0.0,0.0,40,5201
187,2015-07-02,3,0,7,14,0,4,1,Clouds,scattered clouds,23.92,0.0,0.0,40,5601
188,2015-07-02,3,0,7,15,0,4,1,Clouds,scattered clouds,24.44,0.0,0.0,40,5707
189,2015-07-02,3,0,7,16,0,4,1,Clear,sky is clear,24.34,0.0,0.0,1,5768
190,2015-07-02,3,0,7,17,0,4,1,Clear,sky is clear,24.39,0.0,0.0,1,4975
191,2015-07-02,3,0,7,18,0,4,1,Clear,sky is clear,23.61,0.0,0.0,1,3971
192,2015-07-02,3,0,7,19,0,4,1,Clear,sky is clear,23.19,0.0,0.0,1,3532
193,2015-07-02,3,0,7,20,0,4,1,Clear,sky is clear,21.83,0.0,0.0,1,2977
194,2015-07-02,3,0,7,21,0,4,1,Clear,sky is clear,19.87,0.0,0.0,1,2997
195,2015-07-02,3,0,7,22,0,4,1,Clear,sky is clear,17.71,0.0,0.0,1,2525
196,2015-07-02,3,0,7,23,0,4,1,Clear,sky is clear,17.22,0.0,0.0,1,1657
197,2015-07-03,3,0,7,0,1,5,0,Clear,sky is clear,16.05,0.0,0.0,1,959
198,2015-07-03,3,0,7,1,1,5,0,Clear,sky is clear,14.89,0.0,0.0,1,615
199,2015-07-03,3,0,7,2,1,5,0,Mist,mist,14.55,0.0,0.0,1,456
200,2015-07-03,3,0,7,3,1,5,0,Mist,mist,14.28,0.0,0.0,1,359
201,2015-07-03,3,0,7,4,1,5,0,Clear,sky is clear,13.66,0.0,0.0,1,464
202,2015-07-03,3,0,7,5,1,5,0,Clear,sky is clear,12.9,0.0,0.0,1,961
203,2015-07-03,3,0,7,6,1,5,0,Mist,mist,12.75,0.0,0.0,1,1939
204,2015-07-03,3,0,7,7,1,5,0,Clear,sky is clear,14.27,0.0,0.0,1,2368
205,2015-07-03,3,0,7,8,1,5,0,Clear,sky is clear,15.4,0.0,0.0,1,2523
206,2015-07-03,3,0,7,9,1,5,0,Clear,sky is clear,18.96,0.0,0.0,1,3227
207,2015-07-03,3,0,7,10,1,5,0,Clear,sky is clear,21.03,0.0,0.0,1,3721
208,2015-07-03,3,0,7,11,1,5,0,Clear,sky is clear,22.71,0.0,0.0,1,4034
209,2015-07-03,3,0,7,12,1,5,0,Clear,sky is clear,23.54,0.0,0.0,1,4273
210,2015-07-03,3,0,7,13,1,5,0,Clear,sky is clear,24.52,0.0,0.0,1,4380
211,2015-07-03,3,0,7,14,1,5,0,Clear,sky is clear,25.03,0.0,0.0,1,4265
212,2015-07-03,3,0,7,15,1,5,0,Clear,sky is clear,25.77,0.0,0.0,1,4339
213,2015-07-03,3,0,7,16,1,5,0,Clear,sky is clear,25.82,0.0,0.0,1,4289
214,2015-07-03,3,0,7,17,1,5,0,Clear,sky is clear,25.7,0.0,0.0,1,3526
215,2015-07-03,3,0,7,18,1,5,0,Haze,haze,25.48,0.0,0.0,1,3762
216,2015-07-03,3,0,7,19,1,5,0,Haze,haze,24.69,0.0,0.0,1,3263
217,2015-07-03,3,0,7,20,1,5,0,Clear,sky is clear,23.37,0.0,0.0,1,2756
218,2015-07-03,3,0,7,21,1,5,0,Mist,mist,21.93,0.0,0.0,1,2740
219,2015-07-03,3,0,7,22,1,5,0,Mist,mist,20.28,0.0,0.0,1,3094
220,2015-07-03,3,0,7,23,1,5,0,Mist,mist,19.84,0.0,0.0,1,2053
221,2015-07-04,3,0,7,0,0,6,0,Fog,fog,18.61,0.0,0.0,1,1512
222,2015-07-04,3,0,7,1,0,6,0,Haze,haze,17.73,0.0,0.0,1,851
223,2015-07-04,3,0,7,2,0,6,0,Haze,haze,17.55,0.0,0.0,1,735
224,2015-07-04,3,0,7,3,0,6,0,Haze,haze,17.34,0.0,0.0,1,341
225,2015-07-04,3,0,7,4,0,6,0,Haze,haze,16.85,0.0,0.0,1,387
226,2015-07-04,3,0,7,5,0,6,0,Haze,haze,16.58,0.0,0.0,1,736
227,2015-07-04,3,0,7,6,0,6,0,Mist,mist,15.84,0.0,0.0,1,971
228,2015-07-04,3,0,7,7,0,6,0,Haze,haze,17.15,0.0,0.0,1,1403
229,2015-07-04,3,0,7,8,0,6,0,Haze,haze,19.05,0.0,0.0,1,1613
230,2015-07-04,3,0,7,9,0,6,0,Haze,haze,21.0,0.0,0.0,1,2322
231,2015-07-04,3,0,7,10,0,6,0,Haze,haze,23.36,0.0,0.0,1,2772
232,2015-07-04,3,0,7,11,0,6,0,Haze,haze,25.29,0.0,0.0,1,3011
233,2015-07-04,3,0,7,12,0,6,0,Haze,haze,25.95,0.0,0.0,1,3156
234,2015-07-04,3,0,7,13,0,6,0,Haze,haze,27.13,0.0,0.0,40,3267
235,2015-07-04,3,0,7,14,0,6,0,Haze,haze,27.75,0.0,0.0,40,3198
236,2015-07-04,3,0,7,15,0,6,0,Haze,haze,28.68,0.0,0.0,40,3080
237,2015-07-04,3,0,7,16,0,6,0,Haze,haze,28.57,0.0,0.0,75,2795
238,2015-07-04,3,0,7,17,0,6,0,Haze,haze,28.54,0.0,0.0,40,2809
239,2015-07-04,3,0,7,18,0,6,0,Haze,haze,27.69,0.0,0.0,1,2792
240,2015-07-04,3,0,7,19,0,6,0,Haze,haze,26.91,0.0,0.0,1,2621
241,2015-07-04,3,0,7,20,0,6,0,Haze,haze,25.49,0.0,0.0,1,2598
242,2015-07-04,3,0,7,21,0,6,0,Haze,haze,24.97,0.0,0.0,1,2471
243,2015-07-04,3,0,7,22,0,6,0,Haze,haze,22.52,0.0,0.0,1,2466
244,2015-07-04,3,0,7,23,0,6,0,Haze,haze,21.89,0.0,0.0,1,3493
245,2015-07-05,3,0,7,0,0,0,0,Haze,haze,21.03,0.0,0.0,1,1710
246,2015-07-05,3,0,7,1,0,0,0,Mist,mist,20.17,0.0,0.0,1,838
247,2015-07-05,3,0,7,2,0,0,0,Clear,sky is clear,19.88,0.0,0.0,1,656
248,2015-07-05,3,0,7,3,0,0,0,Rain,light rain,19.45,0.3,0.0,1,338
249,2015-07-05,3,0,7,4,0,0,0,Clear,sky is clear,18.41,0.0,0.0,1,293
250,2015-07-05,3,0,7,5,0,0,0,Clear,sky is clear,18.16,0.0,0.0,1,451
251,2015-07-05,3,0,7,6,0,0,0,Clear,sky is clear,17.94,0.0,0.0,1,798
252,2015-07-05,3,0,7,7,0,0,0,Clear,sky is clear,18.87,0.0,0.0,1,1099
253,2015-07-05,3,0,7,8,0,0,0,Clouds,scattered clouds,20.67,0.0,0.0,40,1482
254,2015-07-05,3,0,7,9,0,0,0,Clouds,scattered clouds,22.12,0.0,0.0,40,2257
255,2015-07-05,3,0,7,10,0,0,0,Clear,sky is clear,23.52,0.0,0.0,1,2710
256,2015-07-05,3,0,7,11,0,0,0,Clear,sky is clear,24.33,0.0,0.0,1,3295
257,2015-07-05,3,0,7,12,0,0,0,Clear,sky is clear,25.16,0.0,0.0,1,3874
258,2015-07-05,3,0,7,13,0,0,0,Clear,sky is clear,27.27,0.0,0.0,1,4057
259,2015-07-05,3,0,7,14,0,0,0,Clear,sky is clear,28.38,0.0,0.0,1,4009
260,2015-07-05,3,0,7,15,0,0,0,Clear,sky is clear,29.33,0.0,0.0,1,3846
261,2015-07-05,3,0,7,16,0,0,0,Clear,sky is clear,29.75,0.0,0.0,1,3677
262,2015-07-05,3,0,7,17,0,0,0,Clouds,broken clouds,29.53,0.0,0.0,75,3688
263,2015-07-05,3,0,7,18,0,0,0,Clouds,overcast clouds,28.86,0.0,0.0,90,3740
264,2015-07-05,3,0,7,19,0,0,0,Clear,sky is clear,28.27,0.0,0.0,1,3488
265,2015-07-05,3,0,7,20,0,0,0,Clear,sky is clear,27.4,0.0,0.0,1,3677
266,2015-07-05,3,0,7,21,0,0,0,Clear,sky is clear,26.92,0.0,0.0,1,2992
267,2015-07-05,3,0,7,22,0,0,0,Clear,sky is clear,25.7,0.0,0.0,1,2278
268,2015-07-05,3,0,7,23,0,0,0,Thunderstorm,proximity thunderstorm,25.41,0.0,0.0,40,1310
269,2015-07-06,3,0,7,0,0,1,1,Thunderstorm,proximity thunderstorm,25.23,0.0,0.0,75,729
270,2015-07-06,3,0,7,1,0,1,1,Rain,heavy intensity rain,23.05,1.5,0.0,90,398
271,2015-07-06,3,0,7,2,0,1,1,Rain,heavy intensity rain,22.03,7.97,0.0,90,319
272,2015-07-06,3,0,7,3,0,1,1,Rain,very heavy rain,21.72,23.8,0.0,90,346
273,2015-07-06,3,0,7,4,0,1,1,Rain,heavy intensity rain,21.08,11.78,0.0,90,760
274,2015-07-06,3,0,7,5,0,1,1,Rain,heavy intensity rain,20.95,7.51,0.0,90,2499
275,2015-07-06,3,0,7,6,0,1,1,Rain,heavy intensity rain,20.83,15.41,0.0,90,4487
276,2015-07-06,3,0,7,7,0,1,1,Rain,heavy intensity rain,20.7,3.13,0.0,90,5199
277,2015-07-06,3,0,7,8,0,1,1,Rain,heavy intensity rain,20.85,0.66,0.0,90,4911
278,2015-07-06,3,0,7,9,0,1,1,Rain,heavy intensity rain,20.97,0.25,0.0,75,4173
279,2015-07-06,3,0,7,10,0,1,1,Rain,light rain,21.09,0.28,0.0,90,3821
280,2015-07-06,3,0,7,11,0,1,1,Rain,heavy intensity rain,20.2,2.15,0.0,90,3998
